Region,Q1,Q2,Q3,Q4,Q5,Q6:1,Q6:2,Q6:3,Q6:4,Q6:5,Q6:6,Q7:1,Q7:2,Q7:3,Q7:4,Q7:5,Q7:6,Q8,Q9,Q9a,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q16a,Q16b,Q16c,Q16d,Q17,Q18,Q19,Q20:1,Q20:2,Q20:3,Q20:4,Q21,Q21a,Q21b,Q21c,Q21d,Q21e,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q28a,Q28b,Q28c,Q28d,Q29,Q29a,Q29b,Q29c,Q29d,Q29e,Q29f,Q29g,Q29h,Q29i,Q29j,Q29k,Q30,Q31,Q32:1,Q32:2,Q32:3,Q32:4,Q32:5,Q32:6,Q32:7,Q32:8,Q33:1,Q33:2,Q33:3,Q33:4,Q33:5,Q33:6,Q34,Q35,Q36,PosNeg,ServiceArea
West,Less than a year,English,None of the above,20-29,Yes ,,,Rent,,,Other,By phone,,,,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,No,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,No,No,,,Family care responsibilities,,,,,,Activities for children and young people,,,,,,Very satisfied,Very satisfied,"I am very happy with everything thing here, and I am very thankful of you for your support and understanding.  Thanks",Positive,Housing services
Inner South,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),50-59,Yes ,Repairs and maintenance,,Rent,,,,By phone,,,,,,Yes,Fairly satisfied,Very satisfied,Fairly satisfied,No,No opinion,Fairly satisfied,Yes,No ,,,,,,,Fairly satisfied,Yes,,,By phone,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly dissatisfied,Very satisfied,Very satisfied,Fairly satisfied,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,No,No,,,,,,,,Lack of interest,,,,,,Other,Fairly satisfied,Fairly satisfied,My previous dealings with housing first has been resolved in a appropriate time and have been excellent as in following up with my concerns,Positive,Housing services
East,3 to 5 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),50-59,Yes ,,,Rent,,,,By phone,In person,,By email,,,Yes,Fairly satisfied,Fairly satisfied,Fairly satisfied,Unsure,Neither satisfied nor dissatisfied,Fairly satisfied,Unsure,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,Neither satisfied nor dissatisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Very satisfied,Fairly satisfied,Very satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Unsure,Unsure,,,,,,,,,,,,,,,Fairly satisfied,Fairly satisfied,,,
East,1 to 2 years,Chinese,Migrant (not born in Australia),50-59,Yes ,Repairs and maintenance,,Rent,,,,,,,By email,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Fairly satisfied,Fairly satisfied,Yes,No ,,,,,,,Fairly satisfied,Yes,Via email,,,,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,No opinion,No opinion,Fairly satisfied,No,,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Minor problem,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,,,,Content of the meetings,,,,,,Training opportunities,,,,Neither satisfied nor dissatisfied,Fairly satisfied,,,
East,3 to 5 years,Other,None of the above,60-69,No ,,,,,,,,,,,,,,,,Neither satisfied nor dissatisfied,Unsure,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,Yes,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,No,,,,,,,,,,,,,,Very dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Unsure,Unsure,,,,,,No feedback received or lack of action,,,,,,,Social activities,,No opinion,Neither satisfied nor dissatisfied,,,
Inner South,Less than a year,English,Aboriginal or Torres Strait Islander,0-19,Yes ,Repairs and maintenance,,,,,,By phone,,,By email,,,Yes,Fairly dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Yes,Very satisfied,Neither satisfied nor dissatisfied,Yes,Yes,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Very dissatisfied,Yes,Via email,,By phone,,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Fairly dissatisfied,No,,Very dissatisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Not a problem at all,Not a problem at all,Major problem,Not a problem at all,Not a problem at all,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,No,No,,,,,,,,Lack of interest,,,,,,Other,No opinion,Neither satisfied nor dissatisfied,,,
East,1 to 2 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),50-59,Yes ,Repairs and maintenance,,,,,,By phone,,,,,Other,Yes,Fairly satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,,,Times/day of meetings,,,,,,,,,,Other,Very satisfied,Very satisfied,,,
Inner South,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),40-49,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,No,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Yes,Fairly satisfied,Fairly dissatisfied,Unsure,Yes,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,Fairly dissatisfied,Very dissatisfied,Very dissatisfied,Yes,,,By phone,,Fairly dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,Very satisfied,Very dissatisfied,Yes,Very satisfied,Very dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Very satisfied,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,No,No,,,,Times/day of meetings,,,,,,,,,Social activities,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,My only concerns are on 13/4/2023 my unit was flooded part of the ceiling is hanging. Furniture partly ruined smell of mould was not offered any emergency  accommodation. Still waiting for my place to be repaired and having to pay rent when the place is not liveable . And I am not living there  till the property is fixed,Negative,Repairs - time
Inner South,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),40-49,Yes ,Repairs and maintenance,Neighbourhood issues,,,Community development activity,,By phone,,,,,,No,Fairly dissatisfied,Fairly dissatisfied,Neither satisfied nor dissatisfied,Yes,Very satisfied,Fairly satisfied,Yes,Yes,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Yes,Via email,,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Yes,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Major problem,Major problem,Major problem,Major problem,Minor problem,Not a problem at all,Major problem,Major problem,Not a problem at all,Minor problem,Yes,Yes,,,,,,,,Lack of interest,,,,,,Other,Very satisfied,Very satisfied,Kristin acts upon everything. Ruby is often delayed with responses. Emma is a bit annoying so I deal with Roy and Ruby.,Neutral,Housing services - customer service
East,Less than a year,Other,Migrant (not born in Australia),30-39,Yes ,,,Rent,,,,,In person,,,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Unsure,Unsure,,,,Times/day of meetings,,,,,,Employment opportunities,Training opportunities,,Social activities,,Very satisfied,Very satisfied,"Unfortunately I've been hurt with some people and their judgment, so that's why I'm not that active between such group activities, but as I'm alone I would appreciate any peaceful activity among them. Thanks for your caring",Negative,Neighbour issues/disputes
Inner Northwest,More than 10 years,Arabic,Migrant (not born in Australia),50-59,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,No,,Fairly satisfied,Fairly dissatisfied,No,Very dissatisfied,Fairly satisfied,Yes,Yes,,,,,Fairly dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Yes,,In person,,,Neither satisfied nor dissatisfied,,,,,,Very dissatisfied,No,,Very dissatisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,Very satisfied,,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,No,No,,,,,,No feedback received or lack of action,,,,,,,,Other,Fairly satisfied,Fairly satisfied,,,
East,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),40-49,Yes ,Repairs and maintenance,,,,,Other,By phone,,,,,,No,Very dissatisfied,Very satisfied,Very dissatisfied,Yes,Very dissatisfied,Neither satisfied nor dissatisfied,No,No ,,,,,,,Neither satisfied nor dissatisfied,No,,,,,,,,,,,,,,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Major problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,No,,,,,,,,Lack of interest,,,,,,,Very dissatisfied,Fairly dissatisfied,"I have been told that I need modifications to my bathroom. Housing First has known about this since mid-2022. I have NDIS supports trying to get Housing First to provide an up to date quote, but they keep stalling. The modifications are so that I can safely use my bathroom should I break a bone again.  I called 8 times in 2 weeks to ask about getting a key safe installed. I left multiple messages, and went to the office in person. It took about three weeks for Housing First to respond.  Both the key safe and the bathroom modifications are necessary for me to continue living in my apartment safely.",Negative,Repairs - modifications
East,Less than a year,English,Born in Australia (not Aboriginal or Torres Strait Islander),20-29,Yes ,,,Rent,,,,By phone,,,,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,No opinion,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,,,,,,,Lack of interest,,Employment opportunities,,,,,Very satisfied,Very satisfied,,,
East,1 to 2 years,English,None of the above,40-49,Yes ,Repairs and maintenance,Neighbourhood issues,Rent,,,,By phone,,,By email,,,Yes,Fairly satisfied,Fairly satisfied,Fairly satisfied,Yes,Fairly satisfied,Fairly satisfied,Yes,Yes,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Yes,,,,,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,No,,Fairly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Major problem,Major problem,Major problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Major problem,Major problem,Not a problem at all,No,Yes,,,,Times/day of meetings,,,,Lack of interest,,,,,,,Fairly satisfied,Fairly satisfied,The garage door needs fixing. It remains open and won’t close and there have people can come in that don’t live here.,Negative,Repairs - time
South,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),40-49,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Fairly satisfied,Very satisfied,Fairly satisfied,Yes,Fairly satisfied,Fairly satisfied,Yes,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Minor problem,Major problem,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,,,,,,,Lack of interest,,,,,Social activities,,Fairly satisfied,Fairly satisfied,,,
